,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
47,,@thebeatles8008,"2025-01-21 13:56:45",0,no,no,"Suatu ketika di Hollywood",UCobzmKeSgSVaxxTVquH_1tQ,UgxP2V-SBAP2qc50xYR4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgxP2V-SBAP2qc50xYR4AaABAg
48,,@diktisad,"2025-01-27 00:44:14",0,no,no,"Samo što su prava Shaton Tate i društvo stvarno ubijeni tako da je ovo teška sprdačina",UCpTXcSWnoutIEC7A_OYuRDA,UgzuSwN8M-SJFP6TZFZ4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgzuSwN8M-SJFP6TZFZ4AaABAg
49,,@vikr13nt,"2025-02-01 12:57:37",0,no,no,"who's here in 2025 lmao",UCIa6z_5A2sSgzoy4FVNu3-Q,Ugz0jPKNL6QDlbdk1wJ4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=Ugz0jPKNL6QDlbdk1wJ4AaABAg
50,,@dme1016,"2025-02-03 05:04:25",0,no,no,"That chick who got fried at the end, did a lotta screaming for someone who had ""only"" gotten tagged in the face by a can of dog food, chewed on by a pit bull, and then ran thru a window....before getting fried....",UCMd75LGa_NraW0BaOSQk4Bw,Ugw0F9pbozpEKYOiwWJ4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=Ugw0F9pbozpEKYOiwWJ4AaABAg
51,,@jirihozpodebrad23,"2025-02-07 03:50:33",0,no,no,"...and the most replayed seconds of this trailer is a  bunch of Baby Boomers double checking if that was really Luke Perry x'-D",UCv1KkLwtMzKmaoiB3vYB1dQ,UgxZ0XMArdqTLtO6att4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgxZ0XMArdqTLtO6att4AaABAg
52,,@user-xv5cz3gb9y,"2025-02-08 09:39:51",1,no,no,"I can't believe this was released in 2019. I'm still waiting for the Netflix miniseries. Will this ever get released? 😭",UCKnaG1cM4Nfv6k0fUHYYdnQ,Ugzhl-pDw27oIITtttR4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=Ugzhl-pDw27oIITtttR4AaABAg
53,,@AlbertMarasigan-ec1hj,"2025-02-09 05:52:32",0,no,no,"I love once upon a time in Hollywood and kill bill volume one and two and danjo unchained and the hateful eight and inglorious basterds.",UCEfuxIbW62c_4CzbthiywjA,UgziMxR0kBGmAF9imZN4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgziMxR0kBGmAF9imZN4AaABAg
54,,@koheletcalaforexclan6508,"2025-02-14 07:25:38",1,no,no,"I have no idea why i waited 5 years to watch this! I can’t stop watching it! I’ve watched it ten times now! 
It’s… a masterpiece! A magnificent masterpiece",UC27FgQRlvC-1MtdjfCbJqlg,Ugx5u3mPE2jVAQTK2XB4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=Ugx5u3mPE2jVAQTK2XB4AaABAg
55,,@m.krishna9216,"2025-02-14 07:27:12",0,no,no,"Hoping for a QUENTIN TARANTINO movie againn😫😫😫💀...",UCu9MNbVQHXTwdTIbrDI8JBg,Ugx85UIeygPKSgSydVZ4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=Ugx85UIeygPKSgSydVZ4AaABAg
56,,@rouge7516,"2025-02-15 19:57:45",0,no,no,"Love the 뚝배기(means heads of creatures doing DEVIL THINGS😂😂) SHOW with tomato pasted bloody mad moving scene featuring pateneted by TARANTINO. In korea we express the feelings as  i feel just have a drink the CIDER or SPRITE . 😂😂😂",UC0iMmEUFGZkHUYf2AtJOsnA,UgyQ-K9Tq4JHcUKGc2V4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgyQ-K9Tq4JHcUKGc2V4AaABAg
57,,@skipperhostile1345,"2025-02-18 01:15:26",0,no,no,"Leo's Brad & Butters in Hollywood",UCvVuoiruW8guFzOVRbmcEwQ,UgwdiqFxKbrr11y-0J94AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgwdiqFxKbrr11y-0J94AaABAg
58,,@brigidvanparys2062,"2025-02-20 09:23:13",0,no,no,"I love it because they asked Sharon Tates family if it would be okay to include her part of the movie ❤",UCwLH-8NPm0B4JQ9-4Q7MbVg,UgyT6s-tEbvAIgxcpnl4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgyT6s-tEbvAIgxcpnl4AaABAg
59,,@unpopuIaropinion,"2025-02-20 10:48:18",2,no,no,"what a huge wate of time this movie was.",UC8kh-KOvy92rGi8vnzcNUDQ,UgyWpgf90FXL3Xh87Jt4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgyWpgf90FXL3Xh87Jt4AaABAg
60,,@Timicutie,"2025-02-20 16:32:33",1,no,no,"Imagine Margot Robbie Margaret Qualley Sydney Sweeney, you don't see that all day😮",UC8j4LkJvkhgUiDbP9jUZwaw,UgyaTq9lC3hbEIBwc5R4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgyaTq9lC3hbEIBwc5R4AaABAg
61,,@Bstoudt18,"2025-02-21 01:59:22",0,no,no,"May the Schwartz be with you",UCcdsZKjr3deJHXqbXGopzrA,UgzwqzM4L5vXq4ufoE54AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgzwqzM4L5vXq4ufoE54AaABAg
62,,@EndritLica-m8h,"2025-02-21 08:41:47",0,no,no,MILANO,UCnuW7BLQN8L_1bPa2e50Thg,UgwiTuI-1JBEDQ6uTN14AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgwiTuI-1JBEDQ6uTN14AaABAg
63,,@skylargreenlee01,"2025-02-27 05:44:15",0,no,no,"Once Upon a Time in Hollywood (2019) 
Director: Quentin Tarantino 
Filming Dates: June 18, 2018 - November 1, 2018 
Release Date: July 26, 2019 
MPAA Rating: R [Restricted] 
Runtime: 2 hr 41 min (161 min) 
Studio: Columbia Pictures (Sony)",UCgH0iMMsE_FTuAK3tylKP9A,Ugz4ARtzUnBoV6o7QId4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=Ugz4ARtzUnBoV6o7QId4AaABAg
64,,@czeshirecat6278,"2025-03-01 16:38:01",0,no,no,"I love Tarantino. This one turns the narrative around. Took me a couple of watches to realise what he’d done.  I wish his version had been the real one. ❤❤",UC24AaGzRhAHl6dO5IaPt62g,Ugw3akwVZr4QgFXe4ZN4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=Ugw3akwVZr4QgFXe4ZN4AaABAg
65,,@alifsetiawanz,"2025-03-03 13:37:17",0,no,no,"this movie is my first impression with Mikey Madison and I Luv it~",UCr1e3NMqlxUK5nw9jKjZWpA,UgxddF9wHZ3AAEk8g-p4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgxddF9wHZ3AAEk8g-p4AaABAg
66,,@emporergrimes,"2025-03-08 14:59:01",1,no,no,"Another dumb movie about actors being actors",UChRQ9ifwCHFWm_rBDUh9qXA,Ugw-W0-YtBdmMv8eggh4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=Ugw-W0-YtBdmMv8eggh4AaABAg
67,,@LiaSantos-,"2025-03-09 01:20:05",1,no,no,"Saw the movie this night and gosh! Wow! Its amazing! 1st movie I saw of Tarantino and I just love it! I laugh hard on the end 
That scene with the dog and the flames and Italian Girl was really funny!
I loved it!",UCXtE_R_PkXAJkeJrtRXrw_Q,Ugxh7HWhlwd1IvgLvmh4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=Ugxh7HWhlwd1IvgLvmh4AaABAg
68,,@EndingRetrograde,"2025-03-11 04:47:12",0,no,no,"One of my favorite films. So damn amazing",UCLUE24sdm4w34W-cIOnKPEg,Ugx8x_z-0odWiGKfFEx4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=Ugx8x_z-0odWiGKfFEx4AaABAg
69,,@IronWolf277,"2025-03-14 20:50:42",0,no,no,"There are Movies and there are Cinema. This is Pure Cinema, freaking love this film!",UCLYb6schSIJBuauvK3j5-Qw,UgywzT1fybtLiwdH3KF4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgywzT1fybtLiwdH3KF4AaABAg
70,,@Shiro_Kingpoet-h6u,"2025-03-14 21:18:58",0,no,no,"Looks like a sick movies still 🔥💯",UCceErZFTa-gNoX4qycPWppw,UgwFad3dN_dKrSwtbW94AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgwFad3dN_dKrSwtbW94AaABAg
